"An error occurred during payment initialization.","Ett fel uppstod vid initieringen av betalningen."
"Authorization token used to verify incoming webhooks from Nets.","Auktoriseringstoken som används för att verifiera inkommande webhooks från Nets."
"Authorize and Capture","Auktorisera och dra"
"Authorize Only","Endast auktorisera"
"Cannot capture: Nets payment ID not found.","Kan inte dra: Nets betalnings-ID hittades inte."
"Cannot refund: no charge ID found.","Kan inte återbetala: inget debiterings-ID hittades."
"Cannot void: Nets payment ID not found.","Kan inte annullera: Nets betalnings-ID hittades inte."
"Card Number","Kortnummer"
"Charge ID","Debiterings-ID"
"Checkout Flow","Kassaflöde"
"Click here if you are not redirected automatically.","Klicka här om du inte omdirigeras automatiskt."
"Could not retrieve hosted payment page URL.","Det gick inte att hämta URL:en till den värdbaserade betalningssidan."
"Could not verify payment status. Please contact support.","Det gick inte att verifiera betalningsstatusen. Kontakta supporten."
"Debug","Felsökning"
"Embedded Checkout","Inbäddad kassa"
"Enabled","Aktiverad"
"Environment","Miljö"
"Failed to load payment widget. Please refresh the page.","Det gick inte att ladda betalningswidgeten. Uppdatera sidan."
"Hosted Payment Page","Värdbaserad betalningssida"
"Invalid Nets Easy %s format.","Ogiltigt Nets Easy %s-format."
"Live","Live"
"Live Checkout Key","Live-kassanyckel"
"Live Secret Key","Live-hemlig nyckel"
"Maximum Order Total","Maximalt ordervärde"
"Merchant Handles Consumer Data","Handlaren hanterar kunddata"
"Minimum Order Total","Minsta ordervärde"
"Missing checkout configuration.","Kassakonfiguration saknas."
"Nets Easy","Nets Easy"
"Nets Easy API communication error. Please try again later.","Kommunikationsfel med Nets Easy API. Försök igen senare."
"Nets Easy API error: %s","Nets Easy API-fel: %s"
"Nets Easy charge created: %s","Nets Easy-debitering skapad: %s"
"Nets Easy payment ID is missing. Cannot capture payment.","Nets Easy betalnings-ID saknas. Kan inte dra betalningen."
"Nets Easy refund completed: %s","Nets Easy-återbetalning slutförd: %s"
"Nets Easy reservation created: %s %s","Nets Easy-reservation skapad: %s %s"
"Payment Action","Betalningsåtgärd"
"Payment cancelled by customer.","Betalning avbruten av kunden."
"Payment cancelled via Nets Easy webhook.","Betalning avbruten via Nets Easy-webhook."
"Payment confirmed by Nets Easy webhook.","Betalning bekräftad av Nets Easy-webhook."
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Payment ID","Betalnings-ID"
"Payment Method","Betalningsmetod"
"Payment session could not be initialized.","Betalningssessionen kunde inte initieras."
"Payment Type","Betalningstyp"
"Payment was cancelled.","Betalningen avbröts."
"Payment was not completed. Please try again.","Betalningen slutfördes inte. Försök igen."
"Processing payment...","Behandlar betalning..."
"Redirecting to Nets Easy payment page...","Omdirigerar till Nets Easy-betalningssidan..."
"Send line item details to Nets Easy.","Skicka orderradsuppgifter till Nets Easy."
"Send Order Items","Skicka orderrader"
"Sort Order","Sorteringsordning"
"Terms and Conditions URL","URL för villkor"
"Test","Test"
"Test Checkout Key","Test-kassanyckel"
"Test Secret Key","Test-hemlig nyckel"
"Title","Titel"
"Unable to create payment session.","Det gick inte att skapa betalningssessionen."
"URL to your store's terms and conditions page.","URL till din butiks sida med villkor."
"Webhook Secret","Webhook-hemlighet"
"When enabled, customer data is sent to Nets from the store instead of collected by Nets.","När detta är aktiverat skickas kunddata till Nets från butiken istället för att samlas in av Nets."
"You will be redirected to Nets Easy to complete your payment.","Du kommer att omdirigeras till Nets Easy för att slutföra din betalning."
"You will complete your payment on the next page.","Du slutför din betalning på nästa sida."
